ID,NAME,AGE,ADDRESS,SALARY
1,Customer_1,56,HYDERABAD,8295
2,Customer_2,46,BANGALORE,19456
3,Customer_3,32,BANGALORE,5225
4,Customer_4,25,HYDERABAD,3316
5,Customer_5,38,MUMBAI,14337
6,Customer_6,56,DELHI,8807
7,Customer_7,36,DELHI,5683
8,Customer_8,40,DELHI,9227
9,Customer_9,28,BANGALORE,5273
10,Customer_10,28,BANGALORE,2145
11,Customer_11,41,MUMBAI,7010
12,Customer_12,53,DELHI,18035
13,Customer_13,57,DELHI,5040
14,Customer_14,41,HYDERABAD,11654
15,Customer_15,20,BANGALORE,18866
16,Customer_16,39,DELHI,19633
17,Customer_17,19,MUMBAI,19014
18,Customer_18,41,MUMBAI,16996
19,Customer_19,47,DELHI,18336
20,Customer_20,55,BANGALORE,10853
21,Customer_21,19,MUMBAI,13695
22,Customer_22,38,HYDERABAD,4852
23,Customer_23,50,MUMBAI,18014
24,Customer_24,29,PUNE,2987
25,Customer_25,39,PUNE,9622
26,Customer_26,42,BANGALORE,11160
27,Customer_27,44,DELHI,19484
28,Customer_28,59,BANGALORE,8652
29,Customer_29,45,BANGALORE,9421
30,Customer_30,33,BANGALORE,2769
31,Customer_31,32,BANGALORE,19727
32,Customer_32,20,HYDERABAD,16114
33,Customer_33,54,HYDERABAD,6358
34,Customer_34,24,MUMBAI,13543
35,Customer_35,38,PUNE,7699
36,Customer_36,26,BANGALORE,19625
37,Customer_37,56,MUMBAI,3125
38,Customer_38,35,PUNE,12793
39,Customer_39,21,DELHI,8764
40,Customer_40,42,HYDERABAD,14323
41,Customer_41,31,PUNE,15031
42,Customer_42,26,DELHI,16052
43,Customer_43,43,PUNE,14640
44,Customer_44,19,HYDERABAD,9843
45,Customer_45,37,HYDERABAD,16210
46,Customer_46,45,MUMBAI,18456
47,Customer_47,24,BANGALORE,12106
48,Customer_48,25,PUNE,7189
49,Customer_49,52,PUNE,4472
50,Customer_50,31,DELHI,19091
51,Customer_51,34,HYDERABAD,8704
52,Customer_52,53,PUNE,5713
53,Customer_53,57,HYDERABAD,7051
54,Customer_54,21,PUNE,12756
55,Customer_55,19,MUMBAI,4475
56,Customer_56,23,BANGALORE,5610
57,Customer_57,59,PUNE,6255
58,Customer_58,21,HYDERABAD,16484
59,Customer_59,46,MUMBAI,3735
60,Customer_60,35,PUNE,10258
61,Customer_61,43,DELHI,9979
62,Customer_62,51,BANGALORE,4428
63,Customer_63,27,PUNE,14345
64,Customer_64,53,MUMBAI,9426
65,Customer_65,31,DELHI,10533
66,Customer_66,48,MUMBAI,7249
67,Customer_67,32,MUMBAI,11686
68,Customer_68,25,DELHI,16109
69,Customer_69,31,MUMBAI,2661
70,Customer_70,40,DELHI,14075
71,Customer_71,57,PUNE,16788
72,Customer_72,38,DELHI,12060
73,Customer_73,33,DELHI,17836
74,Customer_74,35,BANGALORE,12526
75,Customer_75,41,DELHI,5374
76,Customer_76,43,DELHI,2207
77,Customer_77,42,PUNE,4665
78,Customer_78,58,BANGALORE,2632
79,Customer_79,46,HYDERABAD,5083
80,Customer_80,32,PUNE,15711
81,Customer_81,18,PUNE,12123
82,Customer_82,42,HYDERABAD,9123
83,Customer_83,24,DELHI,12754
84,Customer_84,26,MUMBAI,3679
85,Customer_85,41,BANGALORE,17901
86,Customer_86,18,MUMBAI,2236
87,Customer_87,25,HYDERABAD,9446
88,Customer_88,41,PUNE,6443
89,Customer_89,28,PUNE,17463
90,Customer_90,34,BANGALORE,10555
91,Customer_91,25,PUNE,18669
92,Customer_92,52,PUNE,2148
93,Customer_93,52,BANGALORE,15395
94,Customer_94,50,BANGALORE,6895
95,Customer_95,22,HYDERABAD,19396
96,Customer_96,59,PUNE,13023
97,Customer_97,56,PUNE,12699
98,Customer_98,58,HYDERABAD,11715
99,Customer_99,45,DELHI,18163
100,Customer_100,24,DELHI,7782
101,Customer_101,26,DELHI,18724
102,Customer_102,25,HYDERABAD,4817
103,Customer_103,29,PUNE,17096
104,Customer_104,51,HYDERABAD,7299
105,Customer_105,50,HYDERABAD,11917
106,Customer_106,40,DELHI,5267
107,Customer_107,41,MUMBAI,6406
108,Customer_108,54,PUNE,19826
109,Customer_109,52,DELHI,12382
110,Customer_110,57,MUMBAI,6437
111,Customer_111,39,MUMBAI,7435
112,Customer_112,44,BANGALORE,6107
113,Customer_113,52,PUNE,2560
114,Customer_114,18,MUMBAI,14329
115,Customer_115,52,DELHI,3826
116,Customer_116,54,BANGALORE,13421
117,Customer_117,31,PUNE,14265
118,Customer_118,20,HYDERABAD,9629
119,Customer_119,18,DELHI,10325
120,Customer_120,22,MUMBAI,9693
121,Customer_121,43,MUMBAI,10264
122,Customer_122,31,DELHI,14686
123,Customer_123,56,MUMBAI,15716
124,Customer_124,44,BANGALORE,8721
125,Customer_125,26,PUNE,9373
126,Customer_126,32,BANGALORE,7907
127,Customer_127,32,MUMBAI,18127
128,Customer_128,43,HYDERABAD,7656
129,Customer_129,59,PUNE,10984
130,Customer_130,30,PUNE,10286
131,Customer_131,49,DELHI,7901
132,Customer_132,56,DELHI,6917
133,Customer_133,49,HYDERABAD,10429
134,Customer_134,21,PUNE,16716
135,Customer_135,47,HYDERABAD,17795
136,Customer_136,54,DELHI,13138
137,Customer_137,40,DELHI,4530
138,Customer_138,56,PUNE,19432
139,Customer_139,32,BANGALORE,7772
140,Customer_140,46,MUMBAI,17476
141,Customer_141,53,DELHI,17751
142,Customer_142,30,DELHI,4964
143,Customer_143,49,BANGALORE,9137
144,Customer_144,24,BANGALORE,19347
145,Customer_145,39,HYDERABAD,18920
146,Customer_146,45,HYDERABAD,15891
147,Customer_147,19,MUMBAI,9340
148,Customer_148,59,MUMBAI,9967
149,Customer_149,23,PUNE,14415
150,Customer_150,45,HYDERABAD,13871
151,Customer_151,45,DELHI,13916
152,Customer_152,37,HYDERABAD,10734
153,Customer_153,47,DELHI,2845
154,Customer_154,28,BANGALORE,4494
155,Customer_155,45,HYDERABAD,14677
156,Customer_156,42,BANGALORE,14330
157,Customer_157,56,MUMBAI,7179
158,Customer_158,50,MUMBAI,8610
159,Customer_159,18,PUNE,8430
160,Customer_160,44,HYDERABAD,9154
161,Customer_161,30,BANGALORE,15828
162,Customer_162,58,DELHI,12145
163,Customer_163,20,MUMBAI,8488
164,Customer_164,56,MUMBAI,5850
165,Customer_165,23,DELHI,19073
166,Customer_166,25,BANGALORE,15564
167,Customer_167,44,BANGALORE,7078
168,Customer_168,26,HYDERABAD,14168
169,Customer_169,54,HYDERABAD,7448
170,Customer_170,50,PUNE,19563
171,Customer_171,59,MUMBAI,11074
172,Customer_172,41,HYDERABAD,8406
173,Customer_173,32,BANGALORE,10800
174,Customer_174,49,DELHI,16083
175,Customer_175,49,BANGALORE,3638
176,Customer_176,41,MUMBAI,12340
177,Customer_177,58,BANGALORE,3382
178,Customer_178,29,PUNE,3403
179,Customer_179,56,MUMBAI,11011
180,Customer_180,19,DELHI,5292
181,Customer_181,20,PUNE,11011
182,Customer_182,54,MUMBAI,2419
183,Customer_183,34,DELHI,14411
184,Customer_184,19,PUNE,6517
185,Customer_185,19,PUNE,17422
186,Customer_186,45,MUMBAI,11700
187,Customer_187,40,HYDERABAD,7693
188,Customer_188,54,PUNE,2767
189,Customer_189,49,PUNE,16818
190,Customer_190,50,DELHI,3549
191,Customer_191,18,BANGALORE,11956
192,Customer_192,36,MUMBAI,8140
193,Customer_193,19,MUMBAI,12837
194,Customer_194,43,HYDERABAD,5716
195,Customer_195,49,HYDERABAD,6481
196,Customer_196,23,MUMBAI,8548
197,Customer_197,49,HYDERABAD,6837
198,Customer_198,21,DELHI,9758
199,Customer_199,28,MUMBAI,12900
200,Customer_200,34,HYDERABAD,9993
201,Customer_201,55,MUMBAI,7542
202,Customer_202,41,BANGALORE,16828
203,Customer_203,22,PUNE,18052
204,Customer_204,51,MUMBAI,4385
205,Customer_205,23,PUNE,16308
206,Customer_206,39,HYDERABAD,2671
207,Customer_207,28,PUNE,2163
208,Customer_208,33,MUMBAI,10656
209,Customer_209,50,BANGALORE,13234
210,Customer_210,26,HYDERABAD,6795
211,Customer_211,23,MUMBAI,12634
212,Customer_212,33,HYDERABAD,6798
213,Customer_213,46,DELHI,12749
214,Customer_214,20,PUNE,7827
215,Customer_215,37,DELHI,6719
216,Customer_216,53,MUMBAI,2593
217,Customer_217,36,BANGALORE,9394
218,Customer_218,43,HYDERABAD,16056
219,Customer_219,20,PUNE,12636
220,Customer_220,36,HYDERABAD,2016
221,Customer_221,37,MUMBAI,5191
222,Customer_222,49,HYDERABAD,2392
223,Customer_223,24,PUNE,8272
224,Customer_224,58,MUMBAI,18955
225,Customer_225,50,HYDERABAD,5631
226,Customer_226,57,BANGALORE,8172
227,Customer_227,56,MUMBAI,11312
228,Customer_228,35,MUMBAI,10906
229,Customer_229,57,BANGALORE,19159
230,Customer_230,18,DELHI,18462
231,Customer_231,28,PUNE,10080
232,Customer_232,45,DELHI,9099
233,Customer_233,42,HYDERABAD,16916
234,Customer_234,40,BANGALORE,9083
235,Customer_235,48,DELHI,11223
236,Customer_236,47,MUMBAI,6940
237,Customer_237,59,HYDERABAD,5456
238,Customer_238,52,HYDERABAD,9788
239,Customer_239,24,DELHI,4711
240,Customer_240,33,DELHI,13280
241,Customer_241,43,BANGALORE,18531
242,Customer_242,19,PUNE,14089
243,Customer_243,18,DELHI,12142
244,Customer_244,29,DELHI,18749
245,Customer_245,22,MUMBAI,17587
